b'LoRa Receiver\r\
b'LoRa Initializing OK!\r\
b"Received packet 'Sender 2:,126, S2M1:,42.57,S2M2: ,36.38,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,121, S1M1:,10.73,S1M2: ,10.69,S1T1: ,27.81,S1T2: ,-127.00\r\
b"Received packet 'Sender 1:,123, S1M1:,10.73,S1M2: ,10.65,S1T1: ,27.81,S1T2: ,-127.00\r\
b"Received packet 'Sender 1:,124, S1M1:,10.73,S1M2: ,10.65,S1T1: ,27.81,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,129, S2M1:,39.55,S2M2: ,34.19,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,125, S1M1:,10.73,S1M2: ,10.65,S1T1: ,27.81,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,130, S2M1:,44.86,S2M2: ,38.13,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,126, S1M1:,10.73,S1M2: ,10.69,S1T1: ,27.87,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,131, S2M1:,38.93,S2M2: ,33.83,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,127, S1M1:,10.77,S1M2: ,10.69,S1T1: ,27.81,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,132, S2M1:,44.63,S2M2: ,37.93,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,128, S1M1:,10.73,S1M2: ,10.69,S1T1: ,27.87,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,133, S2M1:,39.55,S2M2: ,34.19,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,129, S1M1:,10.73,S1M2: ,10.69,S1T1: ,27.81,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,134, S2M1:,40.81,S2M2: ,35.08,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,130, S1M1:,10.77,S1M2: ,10.69,S1T1: ,27.87,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,135, S2M1:,44.16,S2M2: ,37.34,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,131, S1M1:,10.73,S1M2: ,10.69,S1T1: ,27.87,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,136, S2M1:,42.79,S2M2: ,36.38,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,132, S1M1:,10.73,S1M2: ,10.69,S1T1: ,27.87,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,137, S2M1:,40.81,S2M2: ,34.90,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,133, S1M1:,10.73,S1M2: ,10.69,S1T1: ,27.87,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,138, S2M1:,38.53,S2M2: ,33.14,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,134, S1M1:,10.73,S1M2: ,10.69,S1T1: ,27.87,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,139, S2M1:,37.73,S2M2: ,32.47,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,135, S1M1:,10.77,S1M2: ,10.69,S1T1: ,27.87,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,140, S2M1:,37.34,S2M2: ,32.14,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,136, S1M1:,10.73,S1M2: ,10.69,S1T1: ,27.87,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,141, S2M1:,38.33,S2M2: ,32.81,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,137, S1M1:,10.73,S1M2: ,10.69,S1T1: ,27.87,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,142, S2M1:,40.39,S2M2: ,34.19,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,138, S1M1:,10.73,S1M2: ,10.69,S1T1: ,27.87,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,143, S2M1:,43.24,S2M2: ,36.38,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,139, S1M1:,10.73,S1M2: ,10.69,S1T1: ,27.87,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,144, S2M1:,41.46,S2M2: ,35.08,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,140, S1M1:,10.73,S1M2: ,10.65,S1T1: ,27.87,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,145, S2M1:,38.13,S2M2: ,32.64,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,141, S1M1:,10.73,S1M2: ,10.65,S1T1: ,27.87,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,146, S2M1:,38.73,S2M2: ,32.97,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,142, S1M1:,10.69,S1M2: ,10.65,S1T1: ,27.87,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,147, S2M1:,41.68,S2M2: ,35.26,S2T1: ,-127.00,S2T2: ,-127.00\r\
